product_id,merchant_title,shopify_variant_title,fresh_missing_required_attrs,current_sizes,current_age_group,current_gender,suggested_sizes,suggested_age_group,suggested_gender,decision_state,selected_for_apply,decision_reasons,write_scope_if_approved,rollback_required_before_write
online:pt:BR:ST68,Bermuda Saint Studio Alfaiataria Algodão Orgânico Risca de Giz Preto,36,,36,adult,unisex,36,adult,unisex,skipped_not_freshly_missing_target_attrs,False,fresh status does not currently flag target attrs,"sizes + ageGroup + gender only, exact online Merchant product resource, products.insert upsert",True
online:pt:BR:ST69,Bermuda Saint Studio Alfaiataria Algodão Orgânico Risca de Giz Preto,38,,38,adult,unisex,38,adult,unisex,skipped_not_freshly_missing_target_attrs,False,fresh status does not currently flag target attrs,"sizes + ageGroup + gender only, exact online Merchant product resource, products.insert upsert",True
online:pt:BR:ST71,Bermuda Saint Studio Alfaiataria Algodão Orgânico Risca de Giz Preto,42,,42,adult,unisex,42,adult,unisex,skipped_not_freshly_missing_target_attrs,False,fresh status does not currently flag target attrs,"sizes + ageGroup + gender only, exact online Merchant product resource, products.insert upsert",True
online:pt:BR:ST72,Bermuda Saint Studio Alfaiataria Algodão Orgânico Risca de Giz Preto,44,,44,adult,unisex,44,adult,unisex,skipped_not_freshly_missing_target_attrs,False,fresh status does not currently flag target attrs,"sizes + ageGroup + gender only, exact online Merchant product resource, products.insert upsert",True
online:pt:BR:JCQ006,Bolsa Jacquemus Le Grand Bambino Crossbody Flap Bag Croco Embossed Gradient Blue Azul,Default Title,age group; gender,,,,,adult,unisex,blocked_suggestion_not_exact_3field,False,suggested fields outside pilot contract,"sizes + ageGroup + gender only, exact online Merchant product resource, products.insert upsert",True
online:pt:BR:3561,Boné 6 Panel Mini Dane-se Off White,Default Title,age group; gender,,,,,adult,unisex,blocked_suggestion_not_exact_3field,False,suggested fields outside pilot contract,"sizes + ageGroup + gender only, exact online Merchant product resource, products.insert upsert",True
online:pt:BR:khw5052-210,Boné Kith Script Logo Classic Cap Canvas Bege Branco,Default Title,age group; gender,,,,,adult,unisex,blocked_suggestion_not_exact_3field,False,suggested fields outside pilot contract,"sizes + ageGroup + gender only, exact online Merchant product resource, products.insert upsert",True
online:pt:BR:SLBCS,Boné Slyce Championship Verde,Default Title,age group; gender,,,,,adult,unisex,blocked_suggestion_not_exact_3field,False,suggested fields outside pilot contract,"sizes + ageGroup + gender only, exact online Merchant product resource, products.insert upsert",True
online:pt:BR:SUPSS2504,Boné Supreme Military Camp Cap (SS25) Coral Laranja,Default Title,age group; gender,,,,,adult,unisex,blocked_suggestion_not_exact_3field,False,suggested fields outside pilot contract,"sizes + ageGroup + gender only, exact online Merchant product resource, products.insert upsert",True
online:pt:BR:YR0065,Calça Pace Nomo Tailoring Trousers Preto,S/P,,S/P,adult,unisex,S/P,adult,unisex,skipped_not_freshly_missing_target_attrs,False,fresh status does not currently flag target attrs,"sizes + ageGroup + gender only, exact online Merchant product resource, products.insert upsert",True
online:pt:BR:YR0068,Calça Pace Nomo Tailoring Trousers Preto,XL/GG,,XL/GG,adult,unisex,XL/GG,adult,unisex,skipped_not_freshly_missing_target_attrs,False,fresh status does not currently flag target attrs,"sizes + ageGroup + gender only, exact online Merchant product resource, products.insert upsert",True
online:pt:BR:ST63,Calça Saint Studio Jeans Baggy Risca de Giz Azul,36,,36,adult,unisex,36,adult,unisex,skipped_not_freshly_missing_target_attrs,False,fresh status does not currently flag target attrs,"sizes + ageGroup + gender only, exact online Merchant product resource, products.insert upsert",True
online:pt:BR:ST65,Calça Saint Studio Jeans Baggy Risca de Giz Azul,40,,40,adult,unisex,40,adult,unisex,skipped_not_freshly_missing_target_attrs,False,fresh status does not currently flag target attrs,"sizes + ageGroup + gender only, exact online Merchant product resource, products.insert upsert",True
online:pt:BR:ST66,Calça Saint Studio Jeans Baggy Risca de Giz Azul,42,,42,adult,unisex,42,adult,unisex,skipped_not_freshly_missing_target_attrs,False,fresh status does not currently flag target attrs,"sizes + ageGroup + gender only, exact online Merchant product resource, products.insert upsert",True
